author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;year_of_construction;kitchen_meters;district;street;house_number;underground
Циан х ПИК-Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/301869406/;Краснодар;rent;flat;14;17;3;72;70000;0;2007;15;мкр. Юбилейный;бульвар Клары Лучко;6;
Циан х ПИК-Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/304002109/;Краснодар;rent;flat;2;5;3;92.1;45000;0;2007;14;мкр. РИП; Вологодская;8;
Алексей Гнеушев;realtor;https://krasnodar.cian.ru/rent/flat/307099464/;Краснодар;rent;flat;2;5;3;60;25000;0;1965;7;мкр. Черемушки; 2-я Пятилетка;7;
Яндекс Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307441827/;Краснодар;rent;flat;9;24;3;85;52500;0;2023;-1;мкр. ККБ; Домбайская;55к5;
Циан х ПИК-Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307358639/;Краснодар;rent;flat;4;5;3;70;63900;0;1960;7;Центральный; Красноармейская;1;
ID 122418908;homeowner;https://krasnodar.cian.ru/rent/flat/307968922/;Краснодар;rent;flat;7;10;3;75;35000;0;-1;10;мкр. Юбилейный;проспект Чекистов;;
Циан х ПИК-Аренда;real_estate_agent;https://krasnodar.cian.ru/rent/flat/307984225/;Краснодар;rent;flat;11;16;3;88;57700;0;2011;6;Юбилейный мкр;проспект Чекистов;39;
Юлия Чаниа;realtor;https://krasnodar.cian.ru/rent/flat/307587855/;Краснодар;rent;flat;15;24;3;135;150000;0;2015;-1;мкр. Центральный; Буденного;129;
ID 60273650;homeowner;https://krasnodar.cian.ru/rent/flat/307965543/;Краснодар;rent;flat;2;16;3;74.6;50000;0;2014;13.9;мкр. Московский; Им. Байбакова Н.К.;4;
Премиальная Недвижимость;real_estate_agent;https://krasnodar.cian.ru/rent/flat/267399458/;Краснодар;rent;flat;21;22;3;165;200000;0;2013;45;мкр. Центральный; Кубанская Набережная;37;
